date, price
19980601,2.1
19980602,2.2
19980603,2.13
19980604,2.04
19980605,2.01
19980608,2
19980609,2.01
19980610,1.98
19980611,1.99
19980612,2.01
19980615,2.08
19980616,2.1
19980617,2.05
19980618,2.14
19980619,2.2
19980622,2.35
19980623,2.35
19980624,2.4
19980625,2.39
19980626,2.4
19980629,2.36
19980630,2.39
