date, price
20050801,8.03
20050802,8.38
20050803,8.75
20050804,8.55
20050805,8.6
20050808,8.93
20050809,8.7
20050810,8.82
20050811,9.29
20050812,9.59
20050815,9.53
20050816,9.66
20050817,9.99
20050818,9.38
20050819,9.09
20050822,9.44
20050823,9.96
20050824,10.02
20050825,9.77
20050826,9.86
20050829,9.86
20050830,12.36
20050831,12.69
