date, price
20100201,5.3
20100202,5.47
20100203,5.51
20100204,5.47
20100205,5.61
20100208,5.73
20100209,5.54
20100210,5.48
20100211,5.53
20100212,5.48
20100216,5.65
20100217,5.47
20100218,5.4
20100219,5.1
20100222,4.92
20100223,4.91
20100224,4.91
20100225,4.84
20100226,4.76
